Arachis hypogaea
Asparagus officinalis
Beta vulgaris
Brachypodium distachyon
Brassica napus
Camellia sinensis
Capsicum annuum
Cicer arietinum
Citrus limon
Coffea arabica
Cucurbita pepo
Fragaria ananassa
Gossypium hirsutum
Lens culinaris
Musa acuminata
Nicotiana tabacum
Pisum sativum
Prunus avium
Prunus domestica
Pyrus communis
Saccharum officinarum
Solanum lycopersicum
Solanum melongena
Spinacia oleracea
Theobroma cacao
Vaccinium corymbosum
